SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,177.1342657516,13.109932610310368,153.5099,160.326251,167.8307825,175.371625,183.962865,199.596115,218.76690680000004,317.65074
amusement_park,49994.0,30.70191716425971,11.566433129651298,16.39607,18.8342025,22.9144575,28.06284,35.944284999999994,49.314189,67.00684,718.72925
band,50000.0,43.74383976500001,25.802244689634318,22.35943,25.8960015,30.2321375,35.27381,42.49108,115.05165,131.07530500000007,215.10787
championship,50000.0,74.94096595699999,43.19987436684473,21.66335,25.715423,34.0136375,49.699425000000005,117.68242749999999,135.0334705,149.6765687000001,228.22869
chemical_element,49996.0,76.48023029002321,43.9632122642244,4.11292,10.48431,25.46976,93.98976,110.511675,131.293585,150.2366775,264.87857
company,50000.0,92.6379586058,36.871931457402276,36.98639,56.431975,67.05487500000001,78.57439,101.449595,167.44145199999997,187.64337670000012,282.13353
comune,50000.0,158.4186379262,9.43325070606918,141.55994,146.128531,151.59658000000002,157.50022,163.3821075,174.4507705,188.3807523,272.52809
dialect,50000.0,35.826703388599995,10.584147511056601,20.1037,25.6657275,30.0947925,34.37619,39.06239,48.158444499999995,100.19177790000047,162.48529
film,49989.0,41.65751233511373,22.471312486954236,7.7718,16.298644,27.13293,38.09678,49.72686,78.04358399999998,133.68255240000008,221.58825
scientist,50000.0,176.11456539,21.811076576465734,41.25016,134.986789,164.5872575,176.99983500000002,189.9178925,208.5147515,227.06616359999998,341.18173
sculpture,49998.0,38.72175793051722,18.863308300073975,3.11341,19.113565,27.055622500000002,35.472719999999995,45.155379999999994,64.71627499999981,125.68150259999997,187.28889
university,50000.0,50.0593487592,26.628274463006434,27.80776,31.116194500000002,35.981905,41.670424999999994,49.3689075,124.14711499999991,141.4674319,231.98845
vehicle,50000.0,56.280535297,42.87137350039176,6.82844,11.457147,21.2453125,34.852305,101.708635,128.3256864999999,146.58772260000003,240.63144
video_game,50000.0,55.803350613400006,15.067780003746165,32.39294,38.477659,45.2519925,53.540925,62.7490475,79.93902849999994,117.01832390000014,224.35613
