SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,38.0936758808,17.226446299809968,11.67798,15.1793675,23.6885075,36.20961,49.0956275,69.64677749999998,83.8055829,149.02774
amusement_park,49994.0,18.172094911589394,8.986033882980138,5.21446,7.3747795,11.4674,16.630175,22.2128575,36.70587749999999,47.08218759999999,209.10736
band,50000.0,19.038801069,9.627283887658812,5.72073,7.797308,11.7041725,17.24008,23.609012500000002,38.45910999999998,50.09044130000002,89.52503
championship,50000.0,24.889153927600002,13.07967468889056,5.53946,8.759839,14.392335,22.37847,32.61238,50.07245399999993,63.114383200000006,120.0134
chemical_element,49996.0,22.39511849587967,13.053896634871931,2.6149,6.257362499999999,12.276665,19.811255,29.799462499999997,47.473777500000004,61.97966600000001,124.00341
company,50000.0,30.9265769806,16.03111280970109,7.41358,11.0143195,17.973805,28.22718,40.33856,61.257130499999946,76.49603160000001,137.83378
comune,50000.0,38.823396026400005,15.796944508669158,14.89825,17.499359,25.19882,38.08829,48.6316325,69.02711149999999,79.5272419,143.01183
dialect,50000.0,18.672972264800002,9.18220705846099,5.20487,7.825266,11.759345,17.092370000000003,22.879752500000002,37.8841555,47.630710400000005,120.74589
film,49989.0,28.969892454940087,14.42394279660337,2.46996,9.854974,17.6062,27.24401,37.91706,54.72858599999999,70.70657680000006,153.73271
scientist,50000.0,43.24655081959999,19.756392078445575,9.81992,16.681786,26.5345625,41.43355,56.379670000000004,78.79578049999999,94.0396512,256.27743
sculpture,49998.0,24.50406629545182,12.186244474705322,2.01445,9.000577,14.8176625,22.84554,31.6182,47.877816,59.6895813,119.3273
university,50000.0,21.178005227800003,10.741089184996508,6.06182,8.655897000000001,12.995090000000001,18.983510000000003,26.3149925,42.81192249999998,55.300055700000016,112.37189
vehicle,50000.0,22.3008237584,13.517807674143594,3.14749,6.3252765,12.26333,19.47224,29.2073825,47.720693499999975,63.85850150000004,161.42956
video_game,50000.0,30.464921061799995,14.246418138544431,6.59874,12.131561,19.0438775,28.547925,39.278785,57.238437499999975,70.21436200000002,135.78084
