SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
actor,50000.0,3.369692884,2.2447419747687607,0.03284,0.8104920000000001,1.9199725,3.089305,4.4544125,6.868468999999992,9.450204600000003,142.45724
amusement_park,49994.0,3.640803280793695,176.7948599318619,0.02592,0.04972,0.11396,1.36537,2.57078,3.3462835,3.9744626,23848.7522
band,50000.0,1.5564786233999999,2.1866262522587907,0.02546,0.0497,0.09094,1.06158,2.6420725,4.1846925,4.7227109,308.37549
championship,50000.0,1.248285564,3.9979937023815277,0.02529,0.043679,0.105985,1.0306950000000001,1.839745,2.8213529999999998,3.6703737000000007,682.49625
chemical_element,49996.0,33.29817730638451,550.9159835378659,0.02577,0.0508175,0.1223275,1.8477700000000001,4.33973,7.3874075,52.325444500000046,31377.61346
company,50000.0,2.9146575965999997,6.002503520500824,0.02651,0.0338,0.0633225,0.551795,4.62767,11.0881155,21.93506430000003,260.07043
comune,50000.0,49.974324901600006,44.41258185735391,0.82738,15.413629,30.8108,41.896575,57.245329999999996,104.11886299999999,195.1272972000003,2293.03024
dialect,50000.0,3.0239758915999997,125.23004508513087,0.02593,0.03478,0.06487,0.08506,1.09543,5.723433499999997,11.165201400000003,15128.41963
film,49996.0,159.4087473565885,1387.6316423781736,0.02663,0.08373749999999999,1.736345,3.44961,7.4946175,95.742895,5380.320776000004,50020.40902
scientist,50000.0,8.7703889758,10.146067255486026,0.0301,1.2008064999999999,3.2358575,7.1586300000000005,11.9284175,21.955652999999998,32.66394010000001,1117.24155
sculpture,50000.0,133.3420711512,629.8258735958368,0.02561,0.08449,2.0658725000000002,4.869815,149.0521175,538.8073935,815.4202032000027,35895.81026
university,50000.0,0.4945924978,0.9291161090526183,0.02604,0.03304,0.05917,0.0841,0.7518750000000001,1.935323499999997,2.4765408,70.20039
vehicle,50000.0,42.742235193800006,580.2058079193051,0.02496,0.02811,0.05271,0.07302,0.60748,2.9228994999999904,55.045925300002665,18013.39447
video_game,50000.0,2.7993690496,4.325165527295281,0.02631,0.05244,0.6851324999999999,1.981625,4.058415,8.096690999999998,12.7430002,647.47637
