SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
sculpture;bn:15106994n,bn:17789170n;2;97,122;194,244;11252;22505;11.94631;70.02081;
sculpture;bn:02919481n,bn:03605689n;2;117,188;234,376;21577;43155;11.32262;139.25109;
sculpture;bn:00306495n,bn:07592252n;2;128,121;256,242;13578;27157;13.94604;76.95737;
sculpture;bn:15180974n,bn:15532763n;2;124,118;247,236;13458;26917;16.65440;79.94603;
sculpture;bn:05799934n,bn:08083368n;2;119,119;238,238;13457;26915;11.31141;98.21892;
sculpture;bn:05001506n,bn:01539986n;2;123,249;246,498;28793;57587;17.53546;198.88530;
sculpture;bn:07309005n,bn:05516953n;2;88,119;176,238;10093;20187;11.04426;57.62926;
sculpture;bn:02888042n,bn:01768287n;2;186,186;372,372;34596;69193;9.87884;227.34009;
sculpture;bn:01385851n,bn:00727735n;2;103,92;206,184;9192;18385;8.91348;61.95892;
sculpture;bn:16877088n,bn:12325306n;2;88,121;176,242;10093;20187;10.88697;63.91954;
sculpture;bn:01123021n,bn:03452595n;2;204,117;408,234;23664;47329;10.71486;153.62882;
sculpture;bn:02000850n,bn:01713965n;2;238,89;476,178;20359;40719;13.79226;137.35833;
sculpture;bn:14477835n,bn:17305308n;2;30,196;60,392;3477;6955;11.37697;35.55128;
sculpture;bn:00208269n,bn:00942610n;2;122,118;244,236;13458;26917;12.41309;79.21487;
sculpture;bn:01377682n,bn:01088701n;2;124,123;248,246;13579;27159;14.69125;96.15128;
sculpture;bn:14516912n,bn:03030609n;2;345,188;690,376;63613;127227;21.18622;530.77331;
sculpture;bn:16785490n,bn:12358757n;2;119,121;238,242;13458;26917;13.78904;58.35135;
sculpture;bn:03874397n,bn:07304745n;2;123,88;246,176;10093;20187;12.92025;64.50351;
sculpture;bn:05269580n,bn:03302647n;2;90,118;180,236;10209;20419;9.43703;63.71019;
sculpture;bn:03705408n,bn:01808158n;2;118,23;236,46;2553;5107;6.88368;10.82877;
sculpture;bn:01368942n,bn:01404394n;2;118,120;236,240;13573;27147;11.23351;99.62788;
sculpture;bn:00180190n,bn:00921104n;2;119,252;238,504;29368;58737;13.21939;208.00061;
sculpture;bn:02425659n,bn:03103896n;2;188,120;376,239;21693;43387;12.40152;140.66099;
sculpture;bn:14192316n,bn:00913947n;2;120,117;240,234;13457;26915;11.41471;81.43489;
sculpture;bn:04991303n,bn:16689427n;2;120,118;239,236;13458;26917;12.41160;96.70535;
sculpture;bn:15117813n,bn:01218793n;2;118,124;236,248;13921;27843;13.13879;81.92214;
sculpture;bn:02136083n,bn:03831817n;2;208,212;416,423;43261;86523;14.97612;309.21646;
sculpture;bn:01172523n,bn:03024038n;2;118,93;236,186;10557;21115;11.36031;68.35967;
sculpture;bn:07298633n,bn:01042094n;2;87,119;174,238;10179;20359;8.58575;66.11504;
sculpture;bn:14579745n,bn:03766982n;2;269,61;538,122;16409;32819;9.96300;112.32602;
sculpture;bn:16342220n,bn:16046064n;2;123,213;245,426;24453;48907;15.72094;173.45544;
sculpture;bn:11006197n,bn:07870282n;2;117,128;234,256;14501;29003;9.95166;85.23794;
sculpture;bn:00166570n,bn:03679112n;2;122,121;244,241;13461;26923;12.49017;97.48319;
sculpture;bn:03154113n,bn:03455757n;2;99,123;198,246;11254;22509;11.67810;68.78145;
sculpture;bn:09559670n,bn:00120153n;2;118,90;236,180;10093;20187;9.33098;64.97013;
