SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
film;bn:00602083n,bn:00175925n;2;265,74;530,144;9629;19259;23.23491;61.98248;
film;bn:02008300n,bn:00939707n;2;159,163;318,325;24338;48677;15.53584;152.69297;
film;bn:00281141n,bn:16398243n;2;38,41;76,81;1092;2185;14.71275;4.93281;
film;bn:17408886n,bn:03889920n;2;35,49;70,98;1091;2183;8.11291;4.70925;
film;bn:09208401n,bn:14131832n;2;57,138;114,276;4458;8917;10.89523;19.32254;
film;bn:00872630n,bn:02006437n;2;162,63;324,119;5203;10407;16.02038;42.01259;
film;bn:01864505n,bn:00375337n;2;161,168;322,336;25759;51519;15.65597;184.72749;
film;bn:00588747n,bn:06338436n;2;164,335;328,670;52283;104567;18.88279;382.05648;
film;bn:01837498n,bn:17742084n;2;52,45;104,90;1149;2299;14.03990;5.10303;
film;bn:21280379n,bn:03431866n;2;52,163;103,324;5167;10334;14.76537;42.98297;
film;bn:08295664n,bn:14820622n;2;41,36;82,72;1157;2315;9.34059;4.92585;
film;bn:15186675n,bn:03714321n;2;52,151;103,302;4861;9723;16.89574;21.03568;
film;bn:17511713n,bn:08335769n;2;39,41;78,82;1095;2191;10.56222;4.96555;
film;bn:02998069n,bn:14341184n;2;186,38;369,76;5202;10405;16.07852;22.49037;
film;bn:02799817n,bn:00429566n;2;184,61;364,122;5369;10739;22.87079;43.42493;
film;bn:13813966n,bn:02076283n;2;38,267;76,534;8614;17229;15.08991;56.74910;
film;bn:17030889n,bn:02389179n;2;40,41;77,82;1094;2189;11.18124;4.62697;
film;bn:16895807n,bn:17689523n;2;38,42;76,83;1093;2187;10.59876;4.79818;
film;bn:17454110n,bn:08638099n;2;41,40;82,80;1093;2187;12.11828;22.45469;
film;bn:01272775n,bn:00519672n;2;37,64;74,127;1917;3835;10.42964;8.62805;
film;bn:04976925n,bn:08968669n;2;46,44;92,88;1121;2243;10.15058;4.72213;
film;bn:00425952n,bn:17580890n;2;172,37;343,74;5189;10379;15.32576;22.06731;
film;bn:17692961n,bn:00585813n;2;36,173;72,345;5198;10397;15.00119;22.44114;
film;bn:01694622n,bn:01037296n;2;45,39;90,78;1097;2195;11.94867;4.80307;
film;bn:14510459n,bn:14240778n;2;37,37;74,74;1091;2183;8.02859;21.98853;
film;bn:01662198n,bn:02722832n;2;66,46;131,92;1981;3963;12.58779;8.96140;
film;bn:17619837n,bn:15751285n;2;39,40;78,80;1125;2251;10.64991;4.92645;
film;bn:17403233n,bn:17159487n;2;37,165;74,328;4923;9847;17.02814;21.77064;
film;bn:18357166n,bn:01504792n;2;36,39;72,78;1123;2247;9.02823;4.83180;
film;bn:02492247n,bn:00377135n;2;38,37;74,74;1123;2247;8.88495;4.84265;
film;bn:14075339n,bn:02707885n;2;41,36;81,72;1091;2183;8.60334;4.56272;
film;bn:01183332n,bn:03498418n;2;40,55;79,110;1111;2223;12.91868;5.01926;
film;bn:01401928n,bn:02019305n;2;43,64;84,128;1133;2267;14.80134;5.06119;
