SEED;mean;min;max
actor;129877.0012;127009;233591
amusement_park;36730.9358;27849;260355
band;36613.9069;29769;188117
championship;45300.3216;31753;150703
chemical_element;19913.256;2593;221763
company;108177.4546;53465;279301
comune;191829.1187;190967;247537
dialect;34374.737;29283;83271
film;13134.6691;2179;179289
scientist;135336.669;52487;269911
sculpture;34259.6166;651;231291
university;44861.4057;38643;156865
vehicle;24367.9626;6729;162433
video_game;48773.6855;45603;143497
