SEED,mean,min,max
actor,510.9334,505,610
amusement_park,242.7232,237,679
band,249.8901,245,535
championship,263.4905,253,467
chemical_element,110.1804,73,661
company,398.5182,327,691
comune,629.1423,621,682
dialect,270.4882,243,403
film,100.5343,67,539
scientist,489.7288,323,627
sculpture,181.2866,37,683
university,281.6433,279,469
vehicle,142.0763,117,535
video_game,309.3279,303,521
