SEED,mean,min,max
actor,255.3019,252,305
amusement_park,120.862,118,339
band,124.4471,122,267
championship,131.2671,126,254
chemical_element,58.9838,36,330
company,198.7595,163,345
comune,314.0713,310,341
dialect,145.6612,121,257
film,49.8023,33,269
scientist,244.5869,161,313
sculpture,90.1446,18,341
university,140.3238,139,234
vehicle,70.7805,58,320
video_game,154.1817,151,260
