SEED,mean,min,max
actor,134.31694202380953,52.2,513.0
amusement_park,121.83689972305429,6.160714285714286,276.5
band,135.98336884920636,33.44444444444444,260.5
championship,144.15659281746034,30.444444444444443,257.0
chemical_element,46.729594011465835,6.2272727272727275,220.33333333333334
company,274.4199750793651,46.55555555555556,527.0
comune,104.44420249999999,70.55555555555556,310.5
dialect,158.4771336528822,16.5,245.0
film,24.311006704520974,6.5,463.0
scientist,119.67003441919191,29.5,429.0
sculpture,57.398549106867506,7.571428571428571,537.0
university,190.21164833333333,33.44444444444444,401.0
vehicle,99.59517382264708,14.473684210526315,335.0
video_game,117.88005803252302,25.076923076923077,307.0
