SEED,2,3,4,5,6,OVERALL
actor,268.71473999999995,286.38866,307.30986,310.07346,319.92713,319.92713
amusement_park,718.92684,147.93777,156.50092,149.28672,139.82952,718.92684
band,191.46919,182.53957,199.46209,209.28448999999998,215.94312,215.94312
championship,192.57067,216.0762,201.38376,228.80711,220.66817,228.80711
chemical_element,218.83696999999998,195.57259,207.53545,236.14129,265.725,265.725
company,225.70491,217.29368,250.66699,243.90885,282.85119000000003,282.85119000000003
comune,264.91798,236.81186,273.96742,248.61137,274.52407,274.52407
dialect,160.14331,141.81459,162.99499,144.12007000000003,162.61377000000002,162.99499
film,216.43667,265.85496,270.49023,338.56591000000003,254.50073000000003,338.56591000000003
scientist,291.44246000000004,277.46359,281.28053,289.74516,343.18324,343.18324
sculpture,177.57907,209.67725000000002,215.39827,213.14132999999998,192.35296,215.39827
university,188.88183999999998,186.85848,228.52131,232.92083,231.91825,232.92083
vehicle,228.72061000000002,224.15494999999999,269.61652,312.06389,344.67741,344.67741
video_game,163.50765,165.37324,158.15995999999998,202.36502000000002,225.54883,225.54883
