UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:16623092n,bn:02052245n,bn:02945984n,bn:00734640n,bn:17662913n;band;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00524555n,bn:01353813n,bn:03498077n,bn:00678540n,bn:03231977n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00118646n,bn:03244737n,bn:00516101n,bn:03136471n,bn:03229531n;band;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:16580513n,bn:03684346n,bn:01222383n,bn:17558802n,bn:03556785n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00997955n,bn:16352980n,bn:00638939n,bn:01346392n,bn:00188564n;band;5;true;true;0.223;0.05;0.04;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02752755n,bn:03360155n,bn:00683061n,bn:02465352n,bn:01758059n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03678194n,bn:03337367n,bn:15853221n,bn:14568151n,bn:15491767n;band;5;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03815394n,bn:01143597n,bn:14520225n,bn:16129066n,bn:03653032n;band;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03468657n,bn:16744003n,bn:14494365n,bn:01871966n,bn:02004341n;band;5;true;true;0.224;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n)
bn:14092390n,bn:16703037n,bn:01222383n,bn:03498077n,bn:15820578n;band;5;true;true;0.22;0.05;0.04;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03566386n,bn:03402694n,bn:02510406n,bn:15223892n,bn:00689923n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00272290n,bn:01674342n,bn:01214204n,bn:02854974n,bn:17274362n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00138943n,bn:01147268n,bn:00554734n,bn:02224552n,bn:03138511n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03376873n,bn:01771206n,bn:01800013n,bn:01580318n,bn:00250561n;band;5;true;true;0.223;0.05;0.04;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02804525n,bn:17247518n,bn:01766660n,bn:02094169n,bn:01443826n;band;5;true;true;0.219;0.06;0.06;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00290151n,bn:01186565n,bn:03098677n,bn:03098274n,bn:02577863n;band;5;true;true;0.218;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03328781n,bn:15375216n,bn:01231134n,bn:00925284n,bn:02872595n;band;5;true;true;0.224;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02635545n,bn:02577014n,bn:03360700n,bn:00890947n,bn:00753127n;band;5;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02900868n,bn:01181748n,bn:02728604n,bn:01021308n,bn:17508146n;band;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01660199n,bn:09962260n,bn:14647780n,bn:02979351n,bn:17337707n;band;5;true;true;0.22;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01480371n,bn:03363153n,bn:08923643n,bn:02761769n,bn:14718116n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00990343n,bn:15996440n,bn:01171905n,bn:02297593n,bn:02681682n;band;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02021618n,bn:01851235n,bn:02111154n,bn:00623921n,bn:16544256n;band;5;true;true;0.219;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01024617n,bn:01803296n,bn:02002068n,bn:01363729n,bn:03101514n;band;5;true;true;0.221;0.05;0.04;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:18346696n,bn:02796411n,bn:16715481n,bn:08165594n,bn:01378071n;band;5;true;true;0.218;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02988467n,bn:16777042n,bn:16286762n,bn:00934665n,bn:03175155n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01348068n,bn:01753744n,bn:02665954n,bn:14888144n,bn:01765996n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:14989633n,bn:15365743n,bn:00656062n,bn:00148584n,bn:04587239n;band;5;true;true;0.22;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01943038n,bn:03763345n,bn:00154407n,bn:15778690n,bn:03604180n;band;5;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03698539n,bn:02541586n,bn:00450784n,bn:01977443n,bn:01155394n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01770823n,bn:02801346n,bn:03131023n,bn:13258816n,bn:00262168n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), COUNTRY_OF_ORIGIN(X, y_0)
bn:01978984n,bn:14821388n,bn:00899409n,bn:07184004n,bn:00841678n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00908381n,bn:03278476n,bn:02944001n,bn:05070702n,bn:02028056n;band;5;true;true;0.219;0.06;0.06;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:13907302n,bn:14002495n,bn:02894430n,bn:02802529n,bn:03190609n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:15944240n,bn:03455745n,bn:03253549n,bn:03336497n,bn:02079179n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03609752n,bn:02036165n,bn:16335992n,bn:00435339n,bn:01323792n;band;5;true;true;0.22;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n)
bn:01830403n,bn:03222326n,bn:02837139n,bn:02146303n,bn:03360270n;band;5;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00953333n,bn:01838686n,bn:15076109n,bn:17107044n,bn:00485397n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00585847n,bn:08073292n,bn:01384956n,bn:14121902n,bn:08899909n;band;5;true;true;0.221;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03127151n,bn:10702942n,bn:02817103n,bn:16377397n,bn:03666789n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03131794n,bn:03435058n,bn:01331100n,bn:02351024n,bn:16864918n;band;5;true;true;0.219;0.05;0.04;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03858343n,bn:02977339n,bn:17112850n,bn:08259069n,bn:01871060n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02161155n,bn:00872337n,bn:00193393n,bn:03587076n,bn:03591890n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:14884508n,bn:03367963n,bn:01155921n,bn:01401839n,bn:01165102n;band;5;true;true;0.218;0.06;0.06;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:16856119n,bn:00833095n,bn:14370915n,bn:00556781n,bn:01080717n;band;5;true;true;0.109;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02451423n,bn:02836344n,bn:01915446n,bn:00118936n,bn:03332947n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:08732178n,bn:03848821n,bn:03369102n,bn:03842730n,bn:00924804n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:16265855n,bn:14417729n,bn:03408192n,bn:03813676n,bn:01064247n;band;5;true;true;0.224;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03352801n,bn:21593074n,bn:02035399n,bn:00440568n,bn:03277627n;band;5;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02900868n,bn:02824315n,bn:00970325n,bn:14944796n,bn:02242364n;band;5;true;true;0.221;0.05;0.04;0.01;INSTANCE_OF(X, bn:00008280n)
bn:01928712n,bn:00949779n,bn:02540429n,bn:02577863n,bn:00370531n;band;5;true;true;0.219;0.05;0.04;0.01;INSTANCE_OF(X, bn:00008280n)
bn:00354810n,bn:02908942n,bn:00424965n,bn:02264554n,bn:00178336n;band;5;true;true;0.22;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01641550n,bn:03695438n,bn:03798368n,bn:01058693n,bn:00193802n;band;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:03396617n,bn:03286478n,bn:14424535n,bn:02539612n,bn:13877048n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:16363561n,bn:02776090n,bn:00364175n,bn:02276367n,bn:06212903n;band;5;true;true;0.108;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02544452n,bn:03012153n,bn:17194043n,bn:01066779n,bn:15965138n;band;5;true;true;0.336;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03499046n,bn:04140803n,bn:03528517n,bn:02233911n,bn:02401057n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n)
bn:02663271n,bn:16740901n,bn:03640519n,bn:01623868n,bn:01058383n;band;5;true;true;0.218;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01900151n,bn:14491079n,bn:00632180n,bn:15641301n,bn:14728936n;band;5;true;true;0.22;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n), GENRE(X, y_0)
bn:00658768n,bn:00972199n,bn:01610630n,bn:16677008n,bn:00660611n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00120464n,bn:00742372n,bn:00653384n,bn:03415869n,bn:00796498n;band;5;true;true;0.219;0.06;0.06;0.0;INSTANCE_OF(X, bn:00008280n)
bn:15644633n,bn:03556966n,bn:03373877n,bn:02239891n,bn:02922523n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:02207755n,bn:00838203n,bn:02486279n,bn:01109942n,bn:03309241n;band;5;true;true;0.22;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:00545258n,bn:02414609n,bn:00321922n,bn:15907693n,bn:16842188n;band;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03154768n,bn:01629979n,bn:03143423n,bn:15375643n,bn:03161799n;band;5;true;true;0.214;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:15558305n,bn:15117309n,bn:01667256n,bn:01067357n,bn:02270052n;band;5;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00008280n)
bn:03633256n,bn:02777771n,bn:00909615n,bn:01624975n,bn:14738992n;band;5;true;true;0.107;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:00464704n,bn:00690853n,bn:03294154n,bn:01006379n,bn:03804665n;band;5;true;true;0.215;0.06;0.05;0.01;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
bn:01294279n,bn:03160361n,bn:01466962n,bn:03598916n,bn:17469515n;band;5;true;true;0.213;0.0;0.0;0.0;INSTANCE_OF(X, bn:00008280n), INSTANCE_OF(X, bn:00068051n)
