UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:14830152n,bn:17502395n,bn:13273627n,bn:12991252n,bn:15194664n,bn:03894473n;dialect;6;true;true;0.666;6[o     0.506] INSTANCE_OF(X, bn:00000640n)
bn:02512808n,bn:00028281n,bn:13909113n,bn:03463401n,bn:12989674n,bn:05186048n;dialect;6;true;true;0.669;6[o     0.515] INSTANCE_OF(X, bn:00000640n)
bn:01581771n,bn:02476089n,bn:15246300n,bn:02978032n,bn:00016558n,bn:00613171n;dialect;6;true;true;0.666;6[o     0.510] INSTANCE_OF(X, bn:00000640n)
bn:01775589n,bn:21705977n,bn:13942187n,bn:02435226n,bn:03891688n,bn:01953056n;dialect;6;true;true;0.669;6[o     0.522] INSTANCE_OF(X, bn:00000640n)
bn:01050626n,bn:02545558n,bn:01177298n,bn:01861142n,bn:21706091n,bn:02545406n;dialect;6;true;true;0.667;6[o     0.509] INSTANCE_OF(X, bn:00000640n)
bn:03726763n,bn:12990850n,bn:00542596n,bn:01002992n,bn:00051632n,bn:16881099n;dialect;6;true;true;0.666;6[o     0.514] INSTANCE_OF(X, bn:00000640n)
bn:03737404n,bn:01989282n,bn:16455111n,bn:03578965n,bn:00901036n,bn:02903479n;dialect;6;true;true;0.665;6[o     0.525] INSTANCE_OF(X, bn:00000640n)
bn:12989654n,bn:02512808n,bn:01344568n,bn:21706091n,bn:03463401n,bn:02545581n;dialect;6;true;true;0.656;6[o     0.509] INSTANCE_OF(X, bn:00000640n)
bn:02429706n,bn:03569416n,bn:14772744n,bn:02622757n,bn:00167949n,bn:16890739n;dialect;6;true;true;0.675;6[o     0.528] INSTANCE_OF(X, bn:00000640n)
bn:12989879n,bn:17549677n,bn:00165106n,bn:12989643n,bn:01186782n,bn:00214842n;dialect;6;true;true;0.668;6[o     0.520] INSTANCE_OF(X, bn:00000640n)
bn:07685821n,bn:03198116n,bn:03578965n,bn:02551155n,bn:17352061n,bn:00238729n;dialect;6;true;true;0.666;6[o     0.513] INSTANCE_OF(X, bn:00000640n)
