,NEWCORE_COMPUTATION_TIME
count,700000.0
mean,24.777890627114278
std,17.71642090908668
min,0.99684
5%,5.7348295
25%,11.70963
50%,20.270654999999998
75%,32.2191725
95%,60.88398599999999
99%,81.9686362
max,152.19646
