,SUMMARY_COMPUTATION_TIME
count,700000.0
mean,29.113191094371437
std,16.288801801755007
min,2.5837
5%,9.2159885
25%,16.7469025
50%,25.551830000000002
75%,38.28935
95%,60.754202999999926
99%,78.39600850000002
max,174.31102
