UNIT_SIZE,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,139984.0,64.11736874849984,55.582374233553324,3.11341,12.9838635,24.5947875,33.83679,102.19407749999999,166.7017655,177.8180494000001,718.72925
3,140000.0,71.29289136535714,55.9390342842098,7.10278,19.249941000000003,29.1642775,40.67216,110.66556750000001,173.97523199999998,186.72353320000002,285.89505
4,140000.0,79.11888542442856,56.39617333187853,8.87356,23.728466500000003,34.43062,48.766009999999994,120.86691250000001,181.18942849999996,195.02747050000013,306.39174
5,140000.0,86.77805764464287,57.021400079976004,10.38841,28.184151000000004,39.471540000000005,57.582415,132.263665,188.27032,204.26893410000022,308.79824
6,139993.0,94.59809477902468,57.66127940272256,12.01398,33.035158,44.64976,67.66273,143.99397,195.523576,213.32523159999994,341.18173
