,NEWKER_COMPUTATION_TIME
count,699977.0
mean,0.9984978800589163
std,3.2272585131648683
min,0.08315
5%,0.17690800000000004
25%,0.37726
50%,0.61568
75%,1.05264
95%,2.218463999999999
99%,5.519078399999989
max,210.00537
