UNIT;SEED;SIZE;TILDE;NEW;REALTIME;CHARACTERIZATION
bn:00378944n,bn:03739274n,bn:01005654n,bn:03576313n;sculpture;4;true;true;0.66;4[o     0.548] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:02665908n,bn:00485587n,bn:01658589n,bn:00593023n;sculpture;4;true;true;0.666;4[o     0.552] INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:15125301n)
bn:03531637n,bn:03617623n,bn:08291068n,bn:03287410n;sculpture;4;true;true;0.664;4[o     0.538] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:02403576n,bn:01357180n,bn:08973006n,bn:05606091n;sculpture;4;true;true;0.667;4[o     0.561] INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:14421293n), COUNTRY(X, y_0)
bn:07664044n,bn:03699645n,bn:16874789n,bn:00265176n;sculpture;4;true;true;0.659;4[o     0.530] INSTANCE_OF(X, bn:00032645n)
bn:03508407n,bn:13865513n,bn:03139160n,bn:00394958n;sculpture;4;true;true;0.672;4[o     0.554] INSTANCE_OF(X, bn:14421293n), INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:00032645n), COUNTRY(X, y_0)
bn:03177671n,bn:02067149n,bn:03697988n,bn:07309895n;sculpture;4;true;true;0.661;4[o     0.519] INSTANCE_OF(X, bn:00032645n)
bn:05341648n,bn:02915337n,bn:13087526n,bn:02680885n;sculpture;4;true;true;0.666;4[o     0.548] INSTANCE_OF(X, bn:00022154n), INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:00010851n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:03830506n), INSTANCE_OF(X, bn:00975793n), INSTANCE_OF(X, bn:00032645n), INSTANCE_OF(X, bn:03731507n), COUNTRY(X, y_0)
bn:00861675n,bn:14960187n,bn:17491906n,bn:01682378n;sculpture;4;true;true;0.665;4[o     0.552] INSTANCE_OF(X, bn:00032645n)
bn:03680119n,bn:15016743n,bn:14395960n,bn:02481157n;sculpture;4;true;true;0.668;4[o     0.565] INSTANCE_OF(X, bn:00066026n), COUNTRY(X, y_0)
bn:02834169n,bn:14253262n,bn:03898483n,bn:01078156n;sculpture;4;true;true;0.775;4[o     0.629] INSTANCE_OF(X, bn:00066995n), INSTANCE_OF(X, bn:03731507n), INSTANCE_OF(X, bn:00074033n), INSTANCE_OF(X, bn:15125301n), INSTANCE_OF(X, bn:14265130n), INSTANCE_OF(X, bn:17175797n), INSTANCE_OF(X, bn:00076732n)
