SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;CAN_SIZE;WT_CAN_SIZE;SUMMARY_COMPUTATION_TIME;CAN_COMPUTATION_TIME;
vehicle;bn:01289920n,bn:01591876n;2;61,150;122,300;9150;18301;6.81846;62.03856;
vehicle;bn:03319374n,bn:02777856n;2;66,125;132,189;4160;8321;7.56380;38.85201;
vehicle;bn:00527675n,bn:00133768n;2;69,78;138,156;5226;10453;7.02111;22.33717;
vehicle;bn:02591284n,bn:00149621n;2;137,61;210,122;4453;8907;24.68291;20.82387;
vehicle;bn:15847958n,bn:03179324n;2;225,155;450,310;32700;65401;19.82528;214.41858;
vehicle;bn:03088870n,bn:01189833n;2;71,129;142,197;4828;9657;8.26374;42.44160;
vehicle;bn:02965069n,bn:01726709n;2;67,66;134,132;4290;8581;6.46108;18.25195;
vehicle;bn:00973519n,bn:02032926n;2;65,190;130,377;11072;22145;17.25529;66.83031;
vehicle;bn:00438359n,bn:03421791n;2;72,58;144,116;4118;8237;5.59364;17.74178;
vehicle;bn:01678723n,bn:03024652n;2;131,84;198,168;5628;11257;6.48583;45.00033;
vehicle;bn:02613842n,bn:01351525n;2;168,78;253,156;6391;12783;8.57432;44.85950;
vehicle;bn:01014199n,bn:15147049n;2;146,61;292,122;8906;17813;6.14277;55.93294;
vehicle;bn:15183850n,bn:00349377n;2;64,172;128,261;5333;10667;9.07349;18.79937;
vehicle;bn:01620571n,bn:17312475n;2;134,65;207,130;4453;8907;8.99162;16.26486;
vehicle;bn:14437663n,bn:00847464n;2;155,66;310,132;9640;19281;11.77428;60.80078;
vehicle;bn:03094424n,bn:02406717n;2;73,223;146,446;15042;30085;33.90699;86.18012;
vehicle;bn:03714547n,bn:03895357n;2;68,154;136,308;10268;20537;10.68396;66.56557;
vehicle;bn:00450271n,bn:01019127n;2;61,61;122,122;3599;7199;7.63676;13.09937;
vehicle;bn:16932599n,bn:01819357n;2;65,151;130,302;9600;19201;8.48916;60.82314;
vehicle;bn:03475933n,bn:06356607n;2;74,246;148,492;18056;36113;28.72703;98.48531;
vehicle;bn:00946163n,bn:01705101n;2;247,67;493,134;16038;32077;12.24374;87.36951;
vehicle;bn:00980630n,bn:01226873n;2;152,61;304,122;9211;18423;7.40484;57.73540;
vehicle;bn:03500160n,bn:03297402n;2;285,67;570,134;18525;37051;12.31877;122.60982;
vehicle;bn:03218861n,bn:14635251n;2;154,68;308,136;10117;20235;10.68304;66.26348;
vehicle;bn:03651127n,bn:01100163n;2;150,65;300,130;9600;19201;8.02530;61.86255;
vehicle;bn:03293013n,bn:01810670n;2;78,176;156,269;7176;14353;8.34442;51.62311;
vehicle;bn:00457867n,bn:00617920n;2;67,66;134,132;4161;8323;7.78479;17.75462;
vehicle;bn:06313226n,bn:14527103n;2;153,61;306,122;9211;18423;9.26963;39.57233;
vehicle;bn:03850490n,bn:03582251n;2;160,70;320,140;10488;20977;14.19448;66.32577;
vehicle;bn:16131514n,bn:00559697n;2;214,86;367,172;5418;10837;10.25698;44.16159;
vehicle;bn:00700241n,bn:00981911n;2;66,225;132,450;14170;28341;13.42320;82.55880;
vehicle;bn:03575471n,bn:02552993n;2;65,71;130,142;4544;9089;6.10102;19.70032;
vehicle;bn:03931229n,bn:17712538n;2;163,151;326,302;24613;49227;8.73696;176.97948;
vehicle;bn:03261361n,bn:03224281n;2;154,129;308,194;9815;19631;12.26599;62.69461;
vehicle;bn:03098454n,bn:00379007n;2;168,71;253,142;5544;11089;13.39177;24.21554;
vehicle;bn:03153551n,bn:01706056n;2;63,153;126,306;9152;18305;9.29967;58.29437;
vehicle;bn:02647848n,bn:00508763n;2;62,70;124,140;4088;8177;7.80765;17.73742;
vehicle;bn:14220754n,bn:00873289n;2;62,67;124,134;4026;8053;6.12142;17.21721;
vehicle;bn:03637431n,bn:00644825n;2;78,61;156,122;4758;9517;5.09392;20.65418;
vehicle;bn:01413527n,bn:02953774n;2;58,68;116,136;3770;7541;7.08710;15.96115;
