SEED,2,3,4,5,6,OVERALL
actor,378.12951,393.24147999999997,425.74010999999996,619.63408,616.3982900000001,619.63408
amusement_park,200.55495,125.47942,147.08594,152.85795,159.35865,200.55495
band,194.33428,203.50415999999998,624.0866699999999,664.985,901.38885,901.38885
championship,181.24281,192.91334,174.51074,207.32638,221.08675,221.08675
chemical_element,218.17095999999998,192.66325999999998,205.22326999999999,209.92118000000002,227.93022000000002,227.93022000000002
company,264.4556,237.26651999999999,222.18753,237.3121,248.79097000000002,264.4556
comune,252.66921,296.71029999999996,269.26698000000005,277.11442,295.29224,296.71029999999996
dialect,122.53892,140.63649999999998,144.23754,145.87837,160.40258,160.40258
film,197.45537,238.57921,240.0451,307.03499999999997,251.62128,307.03499999999997
scientist,254.4342,284.69021999999995,291.31657,266.32412,305.30054,305.30054
sculpture,201.83311,153.28511,158.18814,164.47580000000002,185.42992999999998,201.83311
university,187.82762000000002,162.15914999999998,161.18232999999998,175.70994000000002,221.55295,221.55295
vehicle,170.96508,179.46218,189.34348,214.35929000000002,217.29478999999998,217.29478999999998
video_game,179.44932,164.25592,170.58222,195.90583999999998,208.53113000000002,208.53113000000002
