SEED,2,3,4,5,6,OVERALL
actor,385.8188,392.89983,428.07155,622.13674,621.69658,622.13674
amusement_park,12088.11896,22466.86725,23905.909349999998,151.83965999999998,158.32838999999998,23905.909349999998
band,356.79462,205.03511,623.69711,664.51243,900.76911,900.76911
championship,717.08019,304.07772,175.87625,208.03423,221.96013,717.08019
chemical_element,13513.59309,18510.98717,21757.64999,24162.6598,31532.38394,31532.38394
company,346.42555000000004,268.17928,323.33766,303.05498,259.61740000000003,346.42555000000004
comune,2482.30204,1246.95268,523.4348,503.23154999999997,411.09364,2482.30204
dialect,8103.87126,15187.26247,195.03856000000002,145.25955,159.70867,15187.26247
film,50080.49621,25050.723280000002,29630.147849999998,30952.57739,34247.03295,50080.49621
scientist,1290.04633,338.74595999999997,425.26939000000004,292.33011,322.01732,1290.04633
sculpture,14156.69448,25374.90682,23334.49154,27384.09664,36070.7455,36070.7455
university,191.22427000000002,162.93072999999998,161.13666999999998,175.38102,221.08639000000002,221.08639000000002
vehicle,7378.293250000001,9677.58509,11633.174749999998,15819.727169999998,18147.06124,18147.06124
video_game,689.6439,165.29015,170.77427,199.5298,210.73047000000003,689.6439
