UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:03181345n,bn:15079235n,bn:01915498n,bn:02810039n,bn:12394674n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01994333n,bn:01836808n,bn:00655850n,bn:01832070n,bn:00376985n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00579706n,bn:01073765n,bn:00569448n,bn:15225591n,bn:00956305n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02686690n,bn:03242592n,bn:03487442n,bn:03213883n,bn:09687033n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02955422n,bn:07746497n,bn:00714971n,bn:15392302n,bn:08180932n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01123062n,bn:01516080n,bn:03884969n,bn:02775764n,bn:03686603n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01741444n,bn:03322702n,bn:04273586n,bn:03414526n,bn:03842127n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03345110n,bn:03624221n,bn:02235905n,bn:02242512n,bn:02677885n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03747456n,bn:00303775n,bn:07619732n,bn:00774613n,bn:00241167n;company;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:01567260n,bn:00341148n,bn:03460408n,bn:00481316n,bn:02040958n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02135567n,bn:00299537n,bn:02128464n,bn:01023454n,bn:00330722n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:01844938n,bn:03108566n,bn:16666978n,bn:01229694n,bn:14061763n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03766523n,bn:02137447n,bn:02208924n,bn:00337419n,bn:02536600n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00120630n,bn:04944887n,bn:02857158n,bn:00255042n,bn:02044757n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n)
bn:15802174n,bn:03425641n,bn:03218231n,bn:01888660n,bn:03209307n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021286n)
bn:03348900n,bn:00153572n,bn:03433047n,bn:01997815n,bn:02527579n;company;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n), INSTANCE_OF(X, bn:00063731n)
bn:03646663n,bn:00241240n,bn:02713376n,bn:02315240n,bn:00145437n;company;5;true;true;0.215;0.06;0.05;0.01;INSTANCE_OF(X, bn:00014137n)
bn:03290645n,bn:01762643n,bn:02317076n,bn:03599194n,bn:03523406n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:17434682n,bn:01803635n,bn:03039787n,bn:01993524n,bn:07856100n;company;5;true;true;0.323;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:15678453n,bn:08162186n,bn:16177632n,bn:15351698n,bn:00821715n;company;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00014137n)
bn:15466010n,bn:02013708n,bn:17302635n,bn:17399927n,bn:01022991n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n)
bn:01549784n,bn:03536722n,bn:01839824n,bn:03256124n,bn:03560851n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00773223n,bn:15790454n,bn:01486939n,bn:01460963n,bn:03566749n;company;5;true;true;0.324;0.04;0.04;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00153564n,bn:03138419n,bn:01538394n,bn:17395483n,bn:00331912n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00505558n,bn:01716014n,bn:14883338n,bn:03269671n,bn:00337810n;company;5;true;true;0.218;0.05;0.04;0.01;INSTANCE_OF(X, bn:00021286n)
bn:03650558n,bn:02614467n,bn:01998200n,bn:00510775n,bn:02216140n;company;5;true;true;0.215;0.06;0.05;0.01;INSTANCE_OF(X, bn:00014137n)
bn:00160058n,bn:01324785n,bn:14973931n,bn:02275040n,bn:01884617n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n)
bn:00258887n,bn:03031962n,bn:00223730n,bn:05527890n,bn:14607105n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:07839483n,bn:05194105n,bn:03357094n,bn:03264845n,bn:03149336n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03798464n,bn:15939791n,bn:14543404n,bn:02920759n,bn:00196544n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00210977n,bn:00890661n,bn:01363200n,bn:03041026n,bn:01128775n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:02944575n,bn:02913154n,bn:01999460n,bn:03714702n,bn:05136542n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03856857n,bn:15907084n,bn:01773007n,bn:01765535n,bn:01778579n;company;5;true;true;0.324;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:15920538n,bn:04094174n,bn:00141272n,bn:00681690n,bn:00518590n;company;5;true;true;0.216;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:04157804n,bn:00583055n,bn:05629701n,bn:17635519n,bn:03003918n;company;5;true;true;0.323;0.04;0.04;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03603710n,bn:08127959n,bn:01071052n,bn:00122957n,bn:00683347n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:03053428n,bn:01564981n,bn:01686928n,bn:14051086n,bn:14377254n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02213368n,bn:01791262n,bn:03239178n,bn:14070052n,bn:03345938n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01299710n,bn:03685310n,bn:15978234n,bn:03823785n,bn:02376462n;company;5;true;true;0.324;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00399655n,bn:03337394n,bn:03568935n,bn:03486856n,bn:00884985n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:02430619n,bn:00133837n,bn:17798429n,bn:01895964n,bn:04821948n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00603544n,bn:14154855n,bn:16225096n,bn:01992939n,bn:14448248n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:15618398n,bn:03560080n,bn:02483364n,bn:02145519n,bn:01258507n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n)
bn:05346316n,bn:00280652n,bn:03372709n,bn:02329210n,bn:08100593n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00001430n)
bn:01620628n,bn:00539799n,bn:07625066n,bn:05127946n,bn:02521164n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00001430n)
bn:08163402n,bn:03264341n,bn:15804541n,bn:01280227n,bn:02136833n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00303732n,bn:17714593n,bn:07581216n,bn:13882343n,bn:03132386n;company;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00559239n,bn:00121348n,bn:01536433n,bn:03262774n,bn:02329018n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:07186561n,bn:00825354n,bn:03747193n,bn:00333459n,bn:03288190n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n)
bn:03437487n,bn:08137910n,bn:08094988n,bn:07751048n,bn:01544002n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01258555n,bn:03278449n,bn:02563429n,bn:01106040n,bn:00500675n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00001430n)
bn:06965666n,bn:03621815n,bn:00954407n,bn:15671151n,bn:03230451n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n)
bn:02894131n,bn:03712530n,bn:00337044n,bn:14685819n,bn:01755347n;company;5;true;true;0.325;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:00896598n,bn:07584738n,bn:00473164n,bn:03444834n,bn:01878834n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
bn:17277879n,bn:00239349n,bn:00355917n,bn:03994529n,bn:02643719n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:03626706n,bn:03212009n,bn:02379179n,bn:01679788n,bn:01257242n;company;5;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:14496928n,bn:00755248n,bn:01111141n,bn:00146141n,bn:00674845n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01245030n,bn:01626869n,bn:02314471n,bn:02741958n,bn:00581550n;company;5;true;true;0.323;0.05;0.05;0.0;INSTANCE_OF(X, bn:00014137n)
bn:01934947n,bn:01498619n,bn:14486061n,bn:00960342n,bn:02760074n;company;5;true;true;0.215;0.06;0.05;0.01;INSTANCE_OF(X, bn:00014137n)
bn:02614222n,bn:03694996n,bn:02704111n,bn:00233608n,bn:03411212n;company;5;true;true;0.323;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:17453650n,bn:00601417n,bn:02872875n,bn:03318127n,bn:01777701n;company;5;true;true;0.215;0.05;0.04;0.01;INSTANCE_OF(X, bn:00014137n)
bn:00716731n,bn:02927228n,bn:02107249n,bn:01177860n,bn:03858899n;company;5;true;true;0.322;0.04;0.04;0.0;INSTANCE_OF(X, bn:00014137n)
bn:00204316n,bn:03517952n,bn:00369847n,bn:05164306n,bn:00619485n;company;5;true;true;0.215;0.04;0.04;0.0;INSTANCE_OF(X, bn:17203600n), INSTANCE_OF(X, bn:00021286n)
bn:02786698n,bn:16395931n,bn:00483933n,bn:01189168n,bn:14502630n;company;5;true;true;0.216;0.05;0.05;0.0;INSTANCE_OF(X, bn:00021286n), INSTANCE_OF(X, bn:00021248n), INSTANCE_OF(X, bn:00041944n)
