UNIT_SIZE,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,140000.0,3.319,2.351548106762404,1.0,1.0,2.0,3.0,5.0,7.0,10.0,56.0
3,140000.0,2.8017142857142856,2.000006408198772,1.0,1.0,1.0,2.0,4.0,6.0,9.0,26.0
4,140000.0,2.540107142857143,1.8389014188431816,1.0,1.0,1.0,2.0,3.0,6.0,8.0,23.0
5,140000.0,2.3757714285714284,1.7676104554948038,1.0,1.0,1.0,2.0,3.0,6.0,8.0,21.0
6,140000.0,2.255407142857143,1.7233011853496114,1.0,1.0,1.0,2.0,3.0,6.0,8.0,21.0
