UNIT_SIZE,SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,actor,10000.0,3.3649909200000003,11.930260056802203,0.03454,1.0161905,1.4436775,2.038215,2.99614,8.258332,20.738591100000008,894.71636
2,amusement_park,9994.0,7.010054483690215,217.12049835453416,0.02555,0.0311765,0.608585,0.79932,0.8769875,1.0923375000000006,3.9025912999999988,11328.16993
2,band,10000.0,1.340241772,4.17937812689176,0.02573,0.0286695,0.9842124999999999,1.190655,1.27792,1.941179999999999,8.11910080000001,195.62036
2,championship,10000.0,2.7373084549999995,68.56722067881257,0.02571,0.0334985,0.64839,0.839815,1.05513,2.4340175,11.563904300000004,5725.77006
2,chemical_element,9996.0,86.59450233093237,736.5849013920803,0.02539,0.03133,1.0324900000000001,1.2156500000000001,1.8202375,11.0922175,4707.590151999992,12271.99648
2,company,10000.0,4.21671741,35.30384196009128,0.02669,0.0297695,0.03728,0.719035,1.483365,11.698966999999987,68.93509160000002,2266.56932
2,comune,10000.0,196.290346204,491.891515017278,0.96495,16.698677,44.410672500000004,86.967895,168.64365500000002,624.3631719999997,2144.7753809,9916.18565
2,dialect,10000.0,17.063091945,445.1918777051845,0.02511,0.0273795,0.03468,0.8670450000000001,1.5257375,4.839277999999998,17.047667600000075,17107.68245
2,film,9994.0,753.9446193165899,2917.985361817596,0.02736,0.045797500000000005,1.26098,2.844195,23.18204,6572.777869000001,13846.110982399998,43880.37065
2,scientist,10000.0,13.097349999,107.19090069323062,0.0321,0.875409,3.006305,5.967245,10.7003175,32.25972499999993,100.67817080000005,7484.86207
2,sculpture,10000.0,171.903505351,1232.445173772089,0.0258,0.052227000000000016,1.0666125,1.712375,6.84815,690.5702469999999,1457.5141937000017,24099.55071
2,university,10000.0,0.801998755,5.590125364356744,0.02584,0.02961,0.03758,0.80016,0.9047775,1.3026929999999994,3.1339238000000185,313.30111
2,vehicle,10000.0,205.854158277,1563.5084583880903,0.02522,0.02776,0.0326175,0.037415000000000004,1.0774374999999998,24.577252999999978,11557.559216000001,17552.13838
2,video_game,10000.0,4.607088727,58.9262701466999,0.02701,0.03286700000000001,0.978375,2.0008,3.69155,12.01775299999998,35.29077360000001,5746.8637
3,actor,10000.0,3.7585874079999995,2.4734459508013624,0.04801,1.481807,2.52082,3.26328,4.363595,7.629642499999995,12.907085400000003,51.59193
