UNIT_SIZE,SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,actor,10000.0,164.835879681,7.846218598501402,153.5099,156.805316,160.431825,163.293295,166.99384750000002,177.4138685,194.9986628,268.50145
2,amusement_park,9994.0,22.979808620172104,10.827044213289781,16.39607,17.869612,18.8517925,20.089385,24.1806825,34.345940000000006,62.758552799999954,718.72925
2,band,10000.0,32.275512492000004,17.196473308071198,22.35943,24.525224,25.995942499999998,27.704685,30.4934775,55.64074049999977,108.2806601,191.29836
2,championship,10000.0,50.899670318999995,36.218959881525265,21.66335,23.687244,26.112427500000003,30.086725,97.2005375,110.7628445,145.7768364,191.99216
2,chemical_element,9996.0,47.05346507402962,40.16987468401981,4.11292,8.646995,10.898015,20.459805,87.3573325,107.34115,127.96015149999992,218.39752
2,company,10000.0,73.744232185,27.73824437714784,36.98639,53.628521000000006,58.174155,63.495615,75.0219,138.84507449999998,172.0613063,225.3845
2,comune,10000.0,149.21643843899997,5.364191594821916,141.55994,144.07399750000002,146.1454125,147.958585,150.556855,159.28300199999998,168.73542530000006,226.35994
2,dialect,10000.0,28.891015226,6.656905939843497,20.1037,23.238926,25.9860075,28.033305,30.439387500000002,35.901457,45.24606180000002,159.8591
2,film,9994.0,25.74022865019012,16.101830892370717,7.7718,12.9336175,16.645785,21.62697,27.5847025,51.108631,104.40672329999998,185.69813
2,scientist,10000.0,163.25448676599999,17.830908136183936,41.25016,121.8205155,160.77291,165.08083,169.9756025,183.67392449999994,209.6024938,290.61029
2,sculpture,10000.0,26.039067543,12.758976194534169,3.11341,14.2735125,19.9955875,23.811905,27.3932025,47.9433855,97.0753624,174.74518
2,university,10000.0,37.81598558400001,17.674214405108838,27.80776,29.626438,31.1554525,32.744825,36.183195,101.69833849999998,114.01083410000001,188.48654
2,vehicle,10000.0,33.062758741,33.21492278973738,6.82844,9.090999,12.295359999999999,17.185785,34.619020000000006,101.08204199999996,125.5720876000001,194.35045
2,video_game,10000.0,41.78007877700001,7.353262227190976,32.39294,36.428014,38.499545,40.323440000000005,42.7883,51.0879955,64.93225230000002,163.12207
3,actor,10000.0,171.406517573,8.686707393332718,157.22928,162.3310355,166.3064775,169.497335,174.142035,185.99957149999997,205.34681030000002,285.89505
3,amusement_park,10000.0,26.602028705,8.020378358308115,18.11819,19.7920985,21.411730000000002,23.864475,29.54355,39.834070999999994,53.48436530000011,121.61184
3,band,10000.0,37.927678393,21.310568820777892,24.21184,26.761156,28.89268,31.24173,35.05197,105.2322375,116.53207820000003,182.18742
3,championship,10000.0,62.243343977,38.36342551105963,23.10471,26.3333905,30.766817500000002,36.19666,105.8179075,117.099114,131.81162720000003,215.43113
3,chemical_element,10000.0,62.061381432999994,40.02502206415171,7.10278,10.8789735,18.217154999999998,85.14652,96.5814275,110.7172705,124.04190670000001,194.44221
3,company,10000.0,81.716203444,29.643955861227422,40.62082,56.75767,64.09045499999999,70.659265,82.02886,148.2487895,161.6832652,216.77202
