UNIT_SIZE,SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,actor,10000.0,165.96813594699998,11.738530785772758,143.41367,148.80405149999999,158.40985,165.708065,173.53187,182.75453249999998,192.189741,377.34817
2,amusement_park,10000.0,25.695321035,9.32673290977398,16.85893,19.914172,21.33662,22.460630000000002,27.2863775,38.515911999999986,70.28935060000002,200.24998
2,band,10000.0,35.95482549599999,18.286723408191712,22.77653,27.377544000000004,29.473795000000003,30.896535,34.055825,64.25482649999911,117.0711459,193.95479
2,championship,10000.0,51.043169746,35.280280755282966,21.6402,23.298761,27.116287500000002,31.291285000000002,93.61354250000001,111.25224149999995,145.13372570000004,180.6243
2,chemical_element,10000.0,47.313752582,39.835413868382304,4.79058,9.017148500000001,11.543365,21.677225,87.2744575,107.65313799999994,126.84648740000003,216.72096
2,company,10000.0,75.530841328,28.85598135457812,35.64253,52.240429500000005,58.3202,66.10597999999999,78.26134499999999,142.35480149999998,169.0366075,264.00187
2,comune,10000.0,167.11083483000002,7.976412454491082,136.82476,148.4147685,165.92671,167.896205,169.9551125,175.6213545,190.382178,250.45041
2,dialect,10000.0,32.017072962,7.182324750504863,20.41254,25.187946500000002,28.9804975,31.26444,33.83054,39.205548,49.773318100000026,122.24149
2,film,10000.0,26.629701594,16.719520440461864,8.69336,13.2788175,17.138192500000002,22.31469,28.7008,53.344293999999984,108.21347330000003,175.03575
2,scientist,10000.0,168.371146566,19.62268797795712,39.97465,125.919866,161.272195,170.46929,179.58995,192.5758965,216.36077000000003,253.27411
2,sculpture,10000.0,27.121796159000002,13.613245145665083,4.03241,14.6451515,20.47965,24.618755,28.8809675,49.643489499999994,98.51378620000007,199.72312
2,university,10000.0,38.352981197000005,18.075580164630313,27.60806,29.144286,30.6686925,34.24065,36.935289999999995,99.60952749999994,118.34904800000001,187.38874
2,vehicle,10000.0,31.271105318,31.77428428796949,6.59032,8.5475405,11.4370525,16.019935,32.5917075,96.72948499999998,119.90767030000004,170.61414
2,video_game,10000.0,45.700086047999996,8.028572097235918,31.83641,37.9935395,42.6980075,44.669145,47.1241225,54.570576,69.0885128,178.98859
3,actor,10000.0,171.850993652,11.402535716480116,147.10344,154.5335805,163.9961425,171.345415,179.3479725,189.41311149999999,199.3614722,392.83914
3,amusement_park,10000.0,29.447175771999998,8.553041404965098,18.36509,22.575312,23.987569999999998,26.364945,32.638515,43.68290749999999,57.114369600000025,125.08744
3,band,10000.0,42.208911435000005,22.60285904395284,24.11887,30.4012625,32.821725,35.1392,39.095375000000004,114.76857649999997,125.94639270000002,203.10064
3,championship,10000.0,62.449939217,37.43926511986022,22.74039,26.62564,31.54609,37.3733,104.9242175,117.91470699999999,128.4813538,192.37894
3,chemical_element,10000.0,62.16645334299999,39.77574062951895,7.30995,11.332334,18.7595525,83.20742,96.808725,111.65162699999999,124.55529560000002,192.09748
3,company,10000.0,84.413119871,30.80512095706367,41.36071,56.5110355,65.23303,73.581715,86.6740375,154.0943385,171.8288995,235.78068
3,comune,10000.0,174.04434543500003,11.603685288305737,140.20044,152.15670350000002,170.4280475,172.603295,175.6728825,199.49100399999998,203.69361650000002,295.0395
3,dialect,10000.0,35.592589237999995,8.93108403375895,21.53019,28.347114,31.859545,34.428875000000005,37.491245,42.869139,58.32474870000002,140.30192
3,film,10000.0,33.635507712000006,17.244350610068043,12.67684,18.264228499999998,24.6783625,30.216459999999998,36.40668,57.96400799999998,118.0945924000001,151.15904
3,scientist,10000.0,175.15939699,19.5055313557878,50.34024,133.4344855,167.68006250000002,178.50505,187.512325,200.76518849999997,210.52789099999998,283.26577
3,sculpture,10000.0,32.120604389,15.031018073415215,9.26105,19.7506005,25.116792500000003,29.480385,34.162504999999996,48.86553049999998,113.64232770000001,152.32129
3,university,10000.0,44.026114418000006,21.888198648078294,28.9576,31.6007345,34.2317725,37.85995,41.88262,114.80381349999999,128.7674301,161.49569
3,vehicle,10000.0,41.197745143,34.56511717347807,7.64489,11.282213,17.168025,22.3389,85.9282725,102.495265,115.32013180000001,178.9552
3,video_game,10000.0,53.061746015,10.11884878391392,34.2659,42.965261000000005,48.72506,51.524795,55.01204,66.83275049999995,86.4215115,163.41646
4,actor,10000.0,178.294901982,12.533578907927776,151.66798,160.127598,169.6703325,177.445085,186.23001499999998,197.67300899999998,209.54996640000005,424.77509
4,amusement_park,10000.0,33.944169633,10.021974218926683,20.18038,25.0696765,27.0624275,30.992315,38.3388625,49.98365799999998,65.56667290000001,146.46025
