UNIT_SIZE,SEED,count,mean,std,min,5%,25%,50%,75%,95%,99%,max
2,actor,10000.0,67.10680642857145,31.76408325042543,26.1,42.833333333333336,51.2,63.75,63.75,126.5,252.0,256.0
2,amusement_park,10000.0,60.66553416795108,23.911494308715906,3.0892857142857144,40.0,40.0,59.5,59.5,118.0,119.0,138.0
2,band,10000.0,67.71751345238094,28.1974454434525,11.266666666666667,41.666666666666664,41.666666666666664,62.0,62.0,122.0,122.0,130.0
2,championship,10000.0,71.80540198412699,29.978505905148488,15.222222222222221,32.25,63.5,63.5,64.0,126.0,127.0,128.0
2,chemical_element,10000.0,24.398557602193986,9.625244029262843,3.5,13.0,19.0,20.0,28.0,40.0,49.5016666666667,110.0
2,company,10000.0,136.86031900793648,62.016005031503845,23.22222222222222,42.0,76.33333333333333,163.0,195.0,195.0,204.0,263.0
2,comune,10000.0,52.139102063492075,5.032042836100485,35.22222222222222,45.0,52.333333333333336,52.333333333333336,52.333333333333336,62.6,62.6,155.0
2,dialect,10000.0,82.89623687115515,31.642906607158547,10.863636363636363,41.333333333333336,54.333333333333336,81.0,121.0,122.0,122.0,122.0
2,film,10000.0,12.022482787479266,10.611549127143558,3.2857142857142856,5.0,6.333333333333333,9.0,11.666666666666666,33.0,51.666666666666664,231.0
2,scientist,10000.0,59.73608948162948,36.171620523419804,14.777777777777779,28.444444444444443,36.285714285714285,50.4,62.75,161.0,161.0,214.0
2,sculpture,10000.0,28.540789332927133,21.3001185472567,3.7142857142857144,5.5,17.8,24.0,39.333333333333336,58.5,93.5,268.0
2,university,10000.0,94.76723496031747,40.08515025893784,16.666666666666668,47.0,70.0,70.0,139.0,139.0,139.0,200.0
2,vehicle,10000.0,49.49793054180683,19.622062001612495,7.2105263157894735,17.0,31.0,58.0,60.0,67.0,83.0,167.0
2,video_game,10000.0,58.75069080086581,45.76376577857652,12.538461538461538,22.428571428571427,26.0,38.5,76.0,151.0,151.0,153.0
3,actor,10000.0,77.60783761904763,38.11166126033292,36.857142857142854,51.2,63.75,63.75,84.66666666666667,126.5,252.0,253.0
3,amusement_park,10000.0,66.67094719298245,25.301574450190373,10.105263157894736,40.0,59.5,59.5,59.5,118.0,118.0,120.0
3,band,10000.0,77.799295,29.72992218329409,23.5,41.666666666666664,62.0,62.0,122.0,122.0,122.0,122.0
3,championship,10000.0,82.98599630952381,30.89698161407185,24.0,47.0,63.5,63.5,126.0,126.0,127.0,127.0
3,chemical_element,10000.0,25.689285220281093,9.0400422604242,3.7333333333333334,14.333333333333334,19.0,20.0,36.0,37.0,40.0,67.0
3,company,10000.0,147.94338444444443,60.17188775323775,26.11111111111111,48.25,76.33333333333333,195.0,195.0,195.0,195.0,254.0
3,comune,10000.0,53.268626666666684,4.690355837243671,39.5,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,62.6,62.6,155.0
3,dialect,10000.0,95.24499983709273,31.09561878386548,12.578947368421053,54.333333333333336,54.666666666666664,121.0,121.0,122.0,122.0,122.0
3,film,10000.0,13.243143565384392,8.361535895579093,3.909090909090909,6.333333333333333,7.4,11.666666666666666,17.0,33.0,33.0,99.0
3,scientist,10000.0,73.8842174134199,41.11372364540986,23.454545454545453,36.285714285714285,42.166666666666664,62.75,83.33333333333333,161.0,161.0,214.0
3,sculpture,10000.0,23.584277750771765,16.54229696634074,4.2727272727272725,5.333333333333333,9.5,21.75,28.666666666666668,58.5,58.5,204.0
3,university,10000.0,109.59618333333333,36.98403033599983,24.666666666666668,47.0,70.0,139.0,139.0,139.0,139.0,139.0
3,vehicle,10000.0,53.947561153976736,13.860149101275324,7.5,20.333333333333332,58.0,58.0,59.0,61.0,70.5,149.0
3,video_game,10000.0,74.2134738095238,49.386712736000966,16.0,26.0,31.0,51.0,151.0,151.0,151.0,153.0
4,actor,10000.0,85.98111071428572,43.63238728229457,36.857142857142854,51.2,63.75,84.66666666666667,84.66666666666667,126.5,252.0,252.0
4,amusement_park,10000.0,71.72270000000002,26.54470843748844,8.75,40.0,59.5,59.5,59.5,118.0,118.0,120.0
4,band,10000.0,85.11057833333332,30.3790198903862,28.2,61.5,62.0,62.0,122.0,122.0,122.0,122.0
4,championship,10000.0,89.44353666666667,31.288556108862515,28.6,63.5,63.5,63.5,126.0,126.0,126.0,127.0
4,chemical_element,10000.0,26.691109680205415,8.745503299058793,3.7333333333333334,18.5,19.0,20.0,36.0,37.0,40.0,66.5
4,company,10000.0,146.68343428571427,60.403625593785186,26.125,64.0,64.0,195.0,195.0,195.0,195.0,254.0
4,comune,10000.0,53.85118666666667,5.577765977047374,45.0,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,62.6,78.0,155.0
4,dialect,10000.0,102.51887833333332,28.531764385318464,24.142857142857142,54.333333333333336,81.0,121.0,121.0,122.0,122.0,122.0
4,film,10000.0,15.082811499313268,8.539644527797096,4.555555555555555,7.4,9.0,11.666666666666666,17.0,33.0,33.0,72.0
4,scientist,10000.0,86.06685797619046,42.48901465707846,25.7,42.166666666666664,50.4,62.75,124.5,161.0,161.0,163.0
4,sculpture,10000.0,20.88448146838799,14.519787728716963,4.363636363636363,5.375,6.25,21.0,28.666666666666668,42.5,58.5,186.0
4,university,10000.0,118.89486666666667,32.749356891360165,47.0,70.0,70.0,139.0,139.0,139.0,139.0,140.0
4,vehicle,10000.0,56.21401480392157,9.402139573194614,7.823529411764706,29.975000000000023,58.0,58.0,59.0,61.0,61.0,149.0
4,video_game,10000.0,85.88510714285715,50.08071513419692,19.75,31.0,38.5,76.0,151.0,151.0,151.0,151.0
5,actor,10000.0,93.43074571428572,48.405022315872266,36.857142857142854,51.2,63.75,84.66666666666667,84.66666666666667,252.0,252.0,253.0
5,amusement_park,10000.0,75.4455,27.6504147219066,40.0,40.0,59.5,59.5,118.0,118.0,118.0,118.0
5,band,10000.0,90.50050333333334,30.41217504566187,28.2,62.0,62.0,62.0,122.0,122.0,122.0,122.0
5,championship,10000.0,94.99073333333332,31.389806515310667,26.0,63.5,63.5,126.0,126.0,126.0,126.0,127.0
5,chemical_element,10000.0,27.718182023809526,8.781213616598038,3.7333333333333334,18.5,19.0,27.333333333333332,36.0,37.0,38.0,66.5
5,company,10000.0,141.74480119047618,61.001083598551766,29.285714285714285,64.0,64.0,195.0,195.0,195.0,195.0,196.0
5,comune,10000.0,54.16248666666668,5.96911679739238,45.0,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,62.6,78.0,155.0
5,dialect,10000.0,108.93371166666667,24.247383483142112,27.666666666666668,54.333333333333336,121.0,121.0,121.0,122.0,122.0,122.0
5,film,10000.0,16.84012842854686,8.7859808002496,5.0,7.4,11.666666666666666,11.666666666666666,17.0,33.0,33.0,63.5
5,scientist,10000.0,95.39696964285714,42.707834859330006,31.875,42.166666666666664,62.75,83.33333333333333,124.5,161.0,161.0,162.0
5,sculpture,10000.0,19.54769152228834,13.84336789753965,4.181818181818182,5.375,6.0,18.2,28.666666666666668,42.5,58.5,186.0
5,university,10000.0,125.3656,28.161037641466702,47.0,70.0,139.0,139.0,139.0,139.0,139.0,139.0
5,vehicle,10000.0,57.16705964985995,6.493986097485701,7.823529411764706,58.0,58.0,58.0,58.0,60.0,61.0,75.0
5,video_game,10000.0,96.47082142857143,49.572727738859065,22.428571428571427,31.0,51.0,76.0,151.0,151.0,151.0,151.0
6,actor,10000.0,101.35861000000001,53.47685037470212,42.833333333333336,63.75,63.75,84.66666666666667,126.5,252.0,252.0,252.0
6,amusement_park,10000.0,78.81285,28.269707595131784,40.0,59.5,59.5,59.5,118.0,118.0,118.0,118.0
6,band,10000.0,94.22911666666667,30.123191215336618,31.5,62.0,62.0,122.0,122.0,122.0,122.0,122.0
6,championship,10000.0,99.24204166666668,30.97331151376382,32.25,63.5,63.5,126.0,126.0,126.0,126.0,127.0
6,chemical_element,10000.0,28.927635317460318,8.630777164289825,5.7,18.5,19.0,36.0,36.0,37.0,37.0,40.0
6,company,10000.0,137.51572833333336,60.794012925371916,36.2,64.0,64.0,163.0,195.0,195.0,195.0,195.0
6,comune,10000.0,54.574253333333345,6.625026355160877,45.0,52.333333333333336,52.333333333333336,52.333333333333336,52.333333333333336,62.6,78.0,155.0
6,dialect,10000.0,112.691395,20.66557912025618,33.0,54.333333333333336,121.0,121.0,121.0,122.0,122.0,122.0
6,film,10000.0,18.47238349943486,9.073227196622467,5.571428571428571,9.0,11.666666666666666,17.0,33.0,33.0,33.0,33.0
6,scientist,10000.0,103.2406007142857,42.20707724823577,31.875,50.4,62.75,83.33333333333333,161.0,161.0,161.0,161.0
6,sculpture,10000.0,18.584078213146505,13.313043999064675,4.363636363636363,5.375,6.0,18.0,28.666666666666668,42.5,58.5,116.0
6,university,10000.0,129.2779,24.414013926382523,47.0,70.0,139.0,139.0,139.0,139.0,139.0,139.0
6,vehicle,10000.0,57.722104117647056,4.325984616286952,7.823529411764706,58.0,58.0,58.0,58.0,59.0,61.0,71.0
6,video_game,10000.0,104.63892857142856,48.0354398336933,22.428571428571427,38.5,51.0,151.0,151.0,151.0,151.0,151.0
