UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:01967537n,bn:14472601n,bn:00825748n,bn:03388705n,bn:16257549n;actor;5;true;true;0.326;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0), PLACE_OF_BIRTH(X, y_1)
bn:06782979n,bn:03882729n,bn:08585251n,bn:02875104n,bn:04971340n;actor;5;true;true;0.326;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:01380518n,bn:10778299n,bn:03284968n,bn:03066768n,bn:00764618n;actor;5;true;true;0.329;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n)
bn:03461187n,bn:04811946n,bn:00233444n,bn:00950379n,bn:00297420n;actor;5;true;true;0.322;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:01062248n,bn:06497524n,bn:05150090n,bn:03695219n,bn:04560152n;actor;5;true;true;0.333;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:01048269n,bn:16652300n,bn:00874092n,bn:00611372n,bn:03704689n;actor;5;true;true;0.33;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2), PLACE_OF_BIRTH(X, y_3)
bn:00230616n,bn:01419349n,bn:06691212n,bn:08432161n,bn:04597276n;actor;5;true;true;0.328;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2)
bn:05531384n,bn:00401299n,bn:10690030n,bn:03619303n,bn:00256630n;actor;5;true;true;0.329;0.05;0.04;0.01;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n)
bn:04840211n,bn:03423161n,bn:05380726n,bn:16505930n,bn:00451534n;actor;5;true;true;0.326;0.05;0.05;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n), COUNTRY_OF_CITIZENSHIP(X, y_0)
bn:02846682n,bn:01574363n,bn:02097952n,bn:00154019n,bn:08282435n;actor;5;true;true;0.326;0.05;0.04;0.01;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), GIVEN_NAME(X, y_1), COUNTRY_OF_CITIZENSHIP(X, y_2)
bn:02420669n,bn:05411516n,bn:04816077n,bn:06513303n,bn:00584031n;actor;5;true;true;0.327;0.04;0.04;0.0;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, y_0), COUNTRY_OF_CITIZENSHIP(X, y_1)
bn:00995344n,bn:01581443n,bn:01819778n,bn:02290568n,bn:02519804n;actor;5;true;true;0.326;0.05;0.04;0.01;INSTANCE_OF(X, bn:00001176n), OCCUPATION(X, bn:00001176n)
