UNIT;SEED;SIZE;TILDE;NEW;REALTIME;TIME;USER;SYSTEM;CHARACTERIZATION
bn:16061453n,bn:01794871n,bn:16485624n,bn:03228999n,bn:03593939n,bn:02203809n;film;6;true;true;0.217;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), DIRECTOR(X, y_0)
bn:02771464n,bn:13002706n,bn:02851037n,bn:03870099n,bn:02007752n,bn:02820660n;film;6;true;true;0.225;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), CAST_MEMBER(X, y_2)
bn:13959812n,bn:03662290n,bn:03456087n,bn:17656536n,bn:17358852n,bn:00251840n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n)
bn:00171551n,bn:04132177n,bn:02554053n,bn:16129524n,bn:17605920n,bn:04514512n;film;6;true;true;0.224;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:02848118n,bn:02389458n,bn:01197735n,bn:03176052n,bn:02656841n,bn:17702821n;film;6;true;true;0.218;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:15363499n,bn:01427897n,bn:08374701n,bn:03793442n,bn:01492298n,bn:03706114n;film;6;true;true;0.219;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
bn:16224409n,bn:02858711n,bn:02804636n,bn:01930241n,bn:15273637n,bn:02489437n;film;6;true;true;0.218;0.04;0.04;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:14230503n,bn:21136765n,bn:00679742n,bn:02809487n,bn:00329597n,bn:17411734n;film;6;true;true;0.215;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0), ORIGINAL_LANGUAGE_OF_WORK(X, y_1), DIRECTOR(X, y_2)
bn:17323337n,bn:03579919n,bn:17048513n,bn:02793384n,bn:16783018n,bn:02485320n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), COUNTRY_OF_ORIGIN(X, y_0)
bn:17543637n,bn:17236870n,bn:17516525n,bn:14733242n,bn:01530297n,bn:00261147n;film;6;true;true;0.214;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), PRODUCER(X, y_0), COUNTRY_OF_ORIGIN(X, y_1), ORIGINAL_LANGUAGE_OF_WORK(X, y_2), SCREENWRITER(X, y_3), DIRECTOR(X, y_4)
bn:01573146n,bn:14666878n,bn:15362828n,bn:03807842n,bn:03439523n,bn:16815598n;film;6;true;true;0.219;0.05;0.05;0.0;INSTANCE_OF(X, bn:00034471n), ORIGINAL_LANGUAGE_OF_WORK(X, y_0), COUNTRY_OF_ORIGIN(X, y_1)
