SEED;UNIT;UNIT_SIZE;SUMMARY_SIZES;WT_SUMMARY_SIZES;SUMMARY_TILDE_SIZES;OLDKER_SIZE;WT_OLDKER_SIZE;NEWKER_SIZE;WT_NEWKER_SIZE;OLDCORE_SIZE;WT_OLDCORE_SIZE;NEWCORE_SIZE;WT_NEWCORE_SIZE;SUMMARY_COMPUTATION_TIME;SUMMARY_TILDE_COMPUTATION_TIME;OLDKER_COMPUTATION_TIME;NEWKER_COMPUTATION_TIME;OLDCORE_COMPUTATION_TIME;NEWCORE_COMPUTATION_TIME;
film;bn:14651817n,bn:00852994n,bn:01078564n,bn:17793041n;4;38,167,208,36;76,333,415,72;6,13,13,3;NA;NA;2;5;NA;NA;34;69;26.27410;40.59666;NA;1.00031;NA;27.99107;
film;bn:02088858n,bn:01757306n,bn:01313476n,bn:14381123n;4;167,155,166,39;334,309,332,77;11,10,12,7;NA;NA;4;9;NA;NA;36;73;30.62144;38.85404;NA;1.12945;NA;11.83871;
film;bn:02471958n,bn:07037303n,bn:01201572n,bn:01447387n;4;45,54,64,40;90,104,127,80;13,22,8,7;NA;NA;3;7;NA;NA;35;71;23.52389;31.07309;NA;1.25545;NA;5.62047;
film;bn:01196097n,bn:17763540n,bn:02454521n,bn:04796385n;4;72,35,37,235;141,70,74,470;39,3,5,6;NA;NA;3;7;NA;NA;35;71;30.48032;41.20263;NA;1.37591;NA;9.40122;
film;bn:16509665n,bn:17409302n,bn:03242111n,bn:16860144n;4;36,41,233,45;72,82,466,86;4,9,3,13;NA;NA;2;5;NA;NA;34;69;27.24419;46.72786;NA;0.85757;NA;8.57466;
film;bn:01491766n,bn:03776360n,bn:03537680n,bn:02349381n;4;40,71,168,47;80,139,335,94;8,15,22,15;NA;NA;5;11;NA;NA;37;75;35.68218;37.43611;NA;1.55628;NA;15.74507;
film;bn:12335781n,bn:15555857n,bn:01330768n,bn:02424790n;4;34,179,57,171;68,354,113,340;2,27,25,15;NA;NA;2;5;NA;NA;34;69;27.51660;47.93064;NA;1.60064;NA;28.22307;
film;bn:18132933n,bn:14338221n,bn:03724552n,bn:00236617n;4;41,47,201,41;82,93,401,82;9,15,6,8;NA;NA;2;5;NA;NA;34;69;25.17428;40.84528;NA;1.34167;NA;7.90820;
film;bn:00489159n,bn:05531787n,bn:16001477n,bn:17663338n;4;135,197,59,33;270,392,116,66;3,44,27,1;NA;NA;1;3;NA;NA;33;67;25.55168;34.03203;NA;1.54118;NA;9.36855;
film;bn:21182800n,bn:02752929n,bn:03615135n,bn:21126756n;4;234,161,84,33;468,321,168,66;8,7,52,1;NA;NA;1;3;NA;NA;33;67;26.08632;47.96970;NA;1.44118;NA;10.97041;
film;bn:15664220n,bn:01383019n,bn:01457900n,bn:00691419n;4;39,177,182,43;78,351,363,85;7,23,20,11;NA;NA;6;13;NA;NA;38;77;27.87104;40.38886;NA;1.63316;NA;10.53069;
film;bn:08893179n,bn:15003457n,bn:02041685n,bn:02231960n;4;157,164,40,44;313,327,79,88;11,7,8,12;NA;NA;4;9;NA;NA;36;73;26.09337;34.95761;NA;1.15624;NA;9.34862;
film;bn:05204365n,bn:14323657n,bn:02498733n,bn:00245326n;4;135,44,62,149;269,88,124,297;7,12,30,15;NA;NA;6;13;NA;NA;38;77;33.29025;39.73193;NA;1.72442;NA;9.39878;
film;bn:01029692n,bn:01046846n,bn:02709421n,bn:03804293n;4;78,44,178,51;156,88,356,102;46,12,22,17;NA;NA;5;11;NA;NA;37;75;31.51972;45.26339;NA;2.33085;NA;8.49222;
film;bn:02453659n,bn:01632040n,bn:01465629n,bn:00163951n;4;44,170,282,146;88,339,562,292;12,16,151,12;NA;NA;6;13;NA;NA;38;77;54.82344;39.41997;NA;4.25759;NA;14.52543;
film;bn:01977427n,bn:17096786n,bn:02312481n,bn:00950805n;4;46,53,39,42;92,104,78,84;14,21,7,10;NA;NA;6;13;NA;NA;38;77;23.55071;33.77813;NA;1.79785;NA;5.40641;
film;bn:02304549n,bn:15938213n,bn:02866333n,bn:17467209n;4;69,233,187,38;136,466,372,74;37,3,33,6;NA;NA;1;3;NA;NA;33;67;37.43498;52.22797;NA;1.62660;NA;12.21720;
film;bn:02130897n,bn:02600908n,bn:15809117n,bn:02700659n;4;52,43,37,160;104,86,74,319;20,11,5,6;NA;NA;4;9;NA;NA;36;73;28.69698;42.81275;NA;1.55882;NA;7.46946;
film;bn:02196019n,bn:16717217n,bn:15350913n,bn:01977243n;4;205,171,37,43;409,340,74,85;10,25,5,11;NA;NA;4;9;NA;NA;36;73;24.86385;37.38103;NA;1.31427;NA;10.86143;
film;bn:14486714n,bn:01183664n,bn:00603216n,bn:15180987n;4;42,178,189,148;83,354,374,296;9,24,34,17;NA;NA;5;11;NA;NA;37;75;51.85573;44.50723;NA;2.03229;NA;12.85327;
film;bn:00737448n,bn:17717170n,bn:01815295n,bn:03892265n;4;70,34,45,167;140,68,90,332;38,2,12,13;NA;NA;2;5;NA;NA;34;69;32.75491;41.03934;NA;1.48496;NA;7.89138;
film;bn:18115689n,bn:01694585n,bn:01152495n,bn:01194181n;4;33,47,171,184;66,92,339,365;1,15,16,28;NA;NA;1;3;NA;NA;33;67;33.74980;41.64590;NA;1.34551;NA;10.43579;
film;bn:16224231n,bn:08238967n,bn:02281481n,bn:18014517n;4;47,41,232,38;94,82,464,76;15,9,6,6;NA;NA;3;7;NA;NA;35;71;27.42062;44.81372;NA;1.03042;NA;9.01819;
film;bn:03298055n,bn:00211115n,bn:15195217n,bn:02203752n;4;56,39,40,54;109,78,80,108;24,7,8,22;NA;NA;3;7;NA;NA;35;71;24.42774;26.53788;NA;1.46522;NA;5.40915;
film;bn:01341733n,bn:17466936n,bn:02494575n,bn:03588155n;4;150,39,39,66;297,78,78,131;16,7,7,10;NA;NA;4;9;NA;NA;36;73;24.72420;51.74911;NA;1.19675;NA;7.35133;
film;bn:14342779n,bn:06676634n,bn:03619368n,bn:02384442n;4;41,161,38,44;82,322,76,88;9,3,5,11;NA;NA;1;3;NA;NA;33;67;24.40972;37.83018;NA;0.72522;NA;6.97620;
film;bn:17556615n,bn:17286138n,bn:21405359n,bn:01543481n;4;162,40,41,59;323,80,82,116;4,8,9,27;NA;NA;2;5;NA;NA;34;69;21.73381;31.74916;NA;1.15287;NA;7.60879;
film;bn:15157990n,bn:01537906n,bn:21624221n,bn:01743708n;4;36,177,35,189;72,353,70,377;4,22,3,27;NA;NA;3;7;NA;NA;35;71;29.45284;40.94177;NA;1.37519;NA;10.09242;
film;bn:01355443n,bn:14984690n,bn:02379887n,bn:01296943n;4;43,37,40,284;86,74,80,567;11,5,8,26;NA;NA;4;9;NA;NA;36;73;38.18270;46.48554;NA;1.33993;NA;9.85688;
film;bn:17100464n,bn:02636289n,bn:03366183n,bn:03797683n;4;159,41,177,43;318,81,352,85;1,8,21,11;NA;NA;1;3;NA;NA;33;67;24.78648;37.72688;NA;0.95812;NA;9.70152;
film;bn:02130918n,bn:17423024n,bn:02849432n,bn:17792801n;4;40,38,39,37;80,76,78,74;8,6,7,5;NA;NA;4;9;NA;NA;36;73;21.55241;26.52582;NA;0.92002;NA;4.80045;
film;bn:01337957n,bn:00838977n,bn:01115110n,bn:03569430n;4;118,55,44,184;230,109,88,365;86,23,12,29;NA;NA;8;17;NA;NA;40;81;60.46396;48.49712;NA;3.33294;NA;9.44820;
film;bn:02109900n,bn:02413490n,bn:02745168n,bn:02453952n;4;56,37,41,42;111,73,80,84;24,5,9,10;NA;NA;5;11;NA;NA;37;75;20.82394;26.41707;NA;1.32666;NA;5.00091;
film;bn:00922773n,bn:15125410n,bn:01182249n,bn:17609738n;4;200,35,174,40;400,70,348,80;1,3,18,8;NA;NA;1;3;NA;NA;33;67;27.27955;41.43863;NA;0.79180;NA;10.27067;
film;bn:03072318n,bn:03279054n,bn:08942681n,bn:21371450n;4;165,66,51,36;328,132,101,72;11,34,19,4;NA;NA;4;9;NA;NA;36;73;36.11689;38.35418;NA;1.69344;NA;8.10915;
film;bn:03814689n,bn:17614519n,bn:01248235n,bn:02213075n;4;52,37,172,143;96,74,342,286;19,5,8,9;NA;NA;3;7;NA;NA;35;71;30.72941;41.38577;NA;1.15969;NA;9.41745;
film;bn:08368031n,bn:17596722n,bn:16880501n,bn:02807239n;4;45,39,35,46;89,77,70,90;12,7,3,13;NA;NA;3;7;NA;NA;35;71;17.67389;23.98625;NA;1.02366;NA;4.87170;
film;bn:09878413n,bn:00236522n,bn:16495657n,bn:02467579n;4;34,40,63,38;68,80,125,76;2,8,7,6;NA;NA;2;5;NA;NA;34;69;14.75909;21.18347;NA;0.72363;NA;5.02526;
